timestamp,node_id,tilt_x_deg,tilt_y_deg,strain_delta_ue,vib_rms_g,vib_peak_g,vib_dominant_freq_hz,crack_status,temperature_c,humidity_pct,pressure_hpa
2026-01-01 00:00:00,N1,0.01704,0.01462,1.251,0.03191,0.05197,13.25,1,35.88,71.47,1007.77
2026-01-01 00:00:00,N2,0.01547,0.02821,0.528,0.01692,0.04905,12.85,1,34.65,66.76,1010.04
2026-01-01 00:00:00,N3,0.0174,0.02687,0.397,0.01438,0.03652,14.16,1,34.8,70.64,1006.83
2026-01-01 00:00:00,N4,-0.0064,0.01729,0.584,0.05402,0.13864,14.81,1,35.12,68.68,1008.42
2026-01-01 00:00:00,N5,-0.00178,-0.00409,0.0,0.02448,0.04086,11.21,1,35.6,67.22,1009.02
2026-01-01 00:05:00,N1,0.0079,0.02699,1.27,0.02702,0.07739,17.23,1,36.38,71.69,1007.66
2026-01-01 00:05:00,N2,0.00294,-0.01582,-0.18,0.02044,0.03321,11.49,1,35.69,65.74,1007.6
2026-01-01 00:05:00,N3,0.01095,0.01087,0.795,0.01115,0.02881,10.14,1,35.16,66.66,1007.83
2026-01-01 00:05:00,N4,0.02318,0.00503,0.031,0.02897,0.04684,14.85,1,35.69,71.93,1008.25
2026-01-01 00:05:00,N5,-0.00181,0.02811,0.432,0.01788,0.03613,17.29,1,35.32,69.91,1009.48
2026-01-01 00:10:00,N1,0.02006,0.00218,0.506,0.02692,0.07969,10.16,1,35.26,71.48,1008.85
2026-01-01 00:10:00,N2,0.01787,0.00036,0.467,0.0193,0.03914,12.65,1,35.26,68.98,1007.03
2026-01-01 00:10:00,N3,0.02912,0.00943,0.08,0.03232,0.08158,11.49,1,35.94,70.58,1008.89
2026-01-01 00:10:00,N4,0.00543,-0.00765,1.168,0.03212,0.05609,10.91,1,35.53,72.76,1007.23
2026-01-01 00:10:00,N5,0.01962,0.01012,0.545,0.01457,0.02381,16.25,1,36.1,68.38,1007.83
2026-01-01 00:15:00,N1,0.03356,0.03876,0.644,0.01591,0.02559,10.1,1,35.67,68.55,1007.78
2026-01-01 00:15:00,N2,-0.01088,0.01923,-0.047,0.03965,0.08176,8.5,1,36.64,68.11,1008.28
2026-01-01 00:15:00,N3,0.01275,0.00862,0.074,0.02267,0.06637,17.49,1,36.0,72.36,1008.04
2026-01-01 00:15:00,N4,0.0168,0.00144,1.243,0.03842,0.08517,8.52,1,35.61,68.24,1008.37
2026-01-01 00:15:00,N5,0.02484,0.01529,0.139,0.02916,0.08318,9.65,1,36.77,71.91,1006.9
2026-01-01 00:20:00,N1,0.00757,0.01831,-0.664,0.03371,0.09295,8.27,1,36.82,67.38,1008.47
2026-01-01 00:20:00,N2,0.02298,0.01865,0.678,0.02076,0.05552,13.95,1,35.91,68.46,1006.71
2026-01-01 00:20:00,N3,0.0219,0.01979,0.85,0.02526,0.04776,15.65,1,36.97,71.13,1008.12
2026-01-01 00:20:00,N4,-0.01605,0.01956,2.097,0.01253,0.01905,17.29,1,35.77,72.32,1007.07
2026-01-01 00:20:00,N5,0.03154,-1e-05,1.066,0.02629,0.07152,12.84,1,36.4,72.7,1007.21
2026-01-01 00:25:00,N1,0.00793,-0.0064,0.045,0.02124,0.04526,11.25,1,36.22,71.9,1008.07
2026-01-01 00:25:00,N2,0.04159,0.02517,0.001,0.01136,0.02137,13.81,1,36.21,70.26,1008.72
2026-01-01 00:25:00,N3,0.00817,-0.00435,0.946,0.02599,0.06213,16.5,1,36.11,72.3,1007.11
2026-01-01 00:25:00,N4,0.01124,0.0281,0.411,0.03494,0.05862,8.81,1,36.2,69.68,1007.55
